,z,height H1,height H2
328,328,2.4769619035000003,2.9530073777999997
329,329,2.4931425499,2.9642477528000004
330,330,2.4653735152,2.9837819212999994
331,331,2.4586545997,3.0069037321999996
332,332,2.4543963968,3.0284639427
333,333,2.456045553,3.0449505323999997
334,334,2.4650351388000002,3.0548464575
335,335,2.4809283621000002,3.0584878563
336,336,2.5014609097000005,3.0580238510000006
337,337,2.5226517617999997,3.0573086115
338,338,2.539842061,3.0608685875
339,339,2.5503346288,3.0712698269
340,340,2.5555496978,3.0869651724999994
341,341,2.5596457882,3.1036719166
342,342,2.5666246492999996,3.1172640983999997
343,343,2.5789230110000005,3.125178097
344,344,2.5972849496,3.1265377275999997
345,345,2.6209073077000005,3.1220091892
346,346,2.6474804948,3.1137623109
347,347,2.6733742724000003,3.1052896952
348,348,2.6947356751999996,3.1003163091
349,349,2.7097827114999995,3.1005130993999996
350,350,2.7749024716,3.1041886323000005
351,351,2.7719789795,3.1078991404
352,352,2.7703169682000004,3.1086754361000004
353,353,2.7717217242000003,3.1048835198
354,354,2.7766974974,3.0962091763000004
355,355,2.7845808403999994,3.0835201506
356,356,2.7935969471,3.0688061490000003
357,357,2.8011048049999996,3.0549305850999993
358,358,2.8046096792999995,3.0446136374999995
359,359,2.8034649203,3.0387243299999995
360,360,2.7994015710999998,3.0357449706999997
361,361,2.7950603333000004,3.0332354719000003
362,362,2.7925296247,3.0292922132999998
363,363,2.7929166899,3.0229741772
364,364,2.7964259496,3.0142214444
365,365,2.802465546,3.0037455771999997
366,366,2.8097043868,2.9929716717999995
367,367,2.8163000869,2.9838104189
368,368,2.8206669677000002,2.9778904541999998
369,369,2.8225605541,2.9754743474999996
370,370,2.8231907623999994,2.9753462493000002
371,371,2.8241652096000003,2.9758695205
372,372,2.8627001691,2.9758350547
373,373,2.8578323982000002,2.9746482524999998
374,374,2.8545178912000004,2.9722505908000003
375,375,2.8524297047999996,2.9690512244000002
376,376,2.8507904443999994,2.9658922082
377,377,2.8485344486,2.9638894805000002
378,378,2.8448217560000004,2.9639221967
379,379,2.8396954098,2.9659787504
380,380,2.8340598669999997,2.9691822895
381,381,2.8289946115000006,2.9724806199000002
382,382,2.8252710137,2.9751305324000006
383,383,2.8232660166,2.9767819310999997
384,384,2.8230122094,2.9774217338
385,385,2.8242306284000005,2.9773345201
386,386,2.8263447373999995,2.9770851460999994
387,387,2.8285853471000006,2.9774115663000003
388,388,2.8303420976,2.978872655
389,389,2.8315985533,2.9814147086
390,390,2.8328929564,2.9844147611
391,391,2.8348585833,2.9871458155
392,392,2.8379107546999993,2.9890955445000005
393,393,2.8421844303000006,2.9900327192000002
394,394,2.8475535067999997,2.9899895344000003
395,395,2.8536351245000002,2.9892580801
